"transcript_id","gene_id","X128.cell.1","X128.cell.2","X128.cell.3","X128.cell.4","X128.cell.5","Day.4.1","Day.4.2","Day.4.3","Day.4.4","Day.4.5"
"ENSDART00000077626","ENSDARG00000055283",40.3869466625855,49.7210083209604,59.8923630366486,78.3880095934145,60.5422622085236,90.257961532515,104.365274430066,104.954838755273,85.284053042137,90.1654544284646
"ENSDART00000077661","ENSDARG00000042993",0,0.654223793696848,0,0,0,1315.68336233935,1516.93712834398,1552.28206519048,1303.94828467057,1694.8822762819
"ENSDART00000077662","ENSDARG00000008494",1.83577030284479,3.27111896848424,3.99282420244324,0,8.19843134073757,18.5144536476954,4.85419881070074,17.8423225883964,4.48863437063879,2.28266973236619
"ENSDART00000077664","ENSDARG00000012684",355.527515317608,334.308358579089,318.285129280476,387.686435043399,317.216228030077,142.329862416658,118.927870862168,125.945806506327,117.826652229268,123.264165547774
"ENSDART00000077769","ENSDARG00000055416",3.05961717140799,3.92534276218109,5.70403457491892,1.82297696728871,3.1532428233606,131.91548223983,135.917566699621,133.292645219196,117.826652229268,134.677514209605
"ENSDART00000077800","ENSDARG00000019293",208.665891090025,196.267138109054,186.521930599849,185.335991674352,166.49122107344,63.6434344139529,61.8910348364345,57.7251613154,52.7414538550058,62.7734176400703
"ENSDART00000077805","ENSDARG00000070173",0,0,0,0,0,5.78576676490481,0,5.24774193776363,11.221585926597,3.42400459854929
"ENSDART00000077817","ENSDARG00000055472",26.9246311083903,28.1316231289645,30.2313832470703,0,11.3516741640982,0,0,0,0,2.28266973236619
"ENSDART00000077834","ENSDARG00000055475",97.9077494850557,72.6188411003501,114.65109495587,117.88584388467,102.165067476884,1267.08292151415,1196.56000683773,1229.02116182424,1277.01647844674,1249.76167847049
"ENSDART00000077839","ENSDARG00000055481",89.3408214051133,81.1237504184091,90.1237462837189,90.5411893753393,76.9391248899988,30.085987177505,31.5522922695548,44.0810322772145,67.3295155595818,34.2400459854929
"ENSDART00000077883","ENSDARG00000055540",59.356573125315,66.0766031633816,67.3076079840432,45.5744241822178,79.4617191486872,13.8858402357715,23.0574443508285,39.8828387270036,30.2982820018118,13.6960183941972
"ENSDART00000077887","ENSDARG00000055523",0,0,0,0,3.1532428233606,21.9859137066383,60.6774851337593,67.1710968033745,62.8408811889431,54.7840735767886
"ENSDART00000077897","ENSDARG00000055536",13.4623155541952,22.2436089856928,19.3937175547243,21.8757236074645,14.5049169874588,38.1860606483717,29.1251928642045,58.7747097029527,62.8408811889431,36.5227157178591
"ENSDART00000077901","ENSDARG00000055543",1.2238468685632,1.96267138109054,0.570403457491892,5.46893090186613,5.04518851737697,0,0,0,0,0
"ENSDART00000077908","ENSDARG00000055543",0,0,0,0.607658989096237,0,189.773149888878,162.615660158475,179.472774271516,221.06524275396,164.352220730366
"ENSDART00000077910","ENSDARG00000055539",0,0,0,0,0,315.902865363803,327.6584197223,270.783483988604,328.792467649291,285.333716545774
"ENSDART00000077936","ENSDARG00000045140",77.7142761537629,60.18858902011,67.3076079840432,86.2875764516656,85.7682047954085,68.2720478258768,78.8807306738871,59.8242580905054,70.695991337561,62.7734176400703
"ENSDART00000077941","ENSDARG00000055566",266.798617346777,244.025475048924,262.38559044627,239.417641703917,246.583588786799,33.5574472364479,40.0471401882811,18.8918709759491,25.809647631173,20.5440275912957
"ENSDART00000077962","ENSDARG00000055610",150.533164833273,157.013710487243,158.001757725254,124.570092764729,140.634629921883,186.301689829935,163.82920986115,171.076387171094,180.667533418211,158.64554639945
"ENSDART00000078021","ENSDARG00000055630",0,20.9351613982991,14.2600864372973,18.2297696728871,17.0275112461473,2.31430670596192,4.85419881070074,0,2.2443171853194,10.2720137956479
"ENSDART00000078052","ENSDARG00000055679",3.05961717140799,1.96267138109054,0.570403457491892,0,0,30.085987177505,44.9013389989819,25.1891613012654,34.7869163724506,37.6640505840422
"ENSDART00000078066","ENSDARG00000035868",42.2227169654303,54.9547986705352,46.7730835143351,57.7276039641425,69.3713421139333,39.3432140013527,71.599432457836,31.4864516265818,33.6647577797909,57.0667433091548
"ENSDART00000078072","ENSDARG00000055678",0.611923434281598,0,0,0,0,9.2572268238477,12.1354970267519,4.19819355021091,4.48863437063879,5.70667433091548
"ENSDART00000078079","ENSDARG00000055698",0,1.3084475873937,0,0,0,43.9718274132766,38.8335904856059,30.4369032390291,31.4204405944715,35.381380851676
"ENSDART00000078118","ENSDARG00000093249",0,1.3084475873937,5.13363111742702,2.43063595638495,0,1.15715335298096,0,0,0,0
"ENSDART00000078140","ENSDARG00000056549",114.429682210659,100.750464229315,90.6941497412108,86.2875764516656,112.255444511638,83.3150414146293,72.8129821605112,67.1710968033745,86.4062116347967,98.1547984917462
"ENSDART00000078152","ENSDARG00000055753",119.325069684912,119.068730452826,118.073515700822,109.986277026419,117.931281593687,32.4002938834669,37.6200407829308,17.8423225883964,17.9545374825552,29.6747065207605
"ENSDART00000078171","ENSDARG00000028322",9.17885151422397,7.19646173066533,20.5345244697081,18.2297696728871,15.766214116803,64.8005877669339,75.2400815658615,62.9729032531636,72.9403085228803,63.9147525062534
"ENSDART00000078230","ENSDARG00000055838",183.577030284479,194.958690521661,187.09233405734,193.235558532603,169.013815332128,26.6145271185621,9.70839762140149,20.9909677510545,15.7102202972358,27.3920367883943
"ENSDART00000078256","ENSDARG00000055857",47.7300278739646,50.3752321146573,52.477118089254,63.1965348660086,49.1905880444254,93.7294215914579,89.8026779979638,111.252129080589,77.4289428935191,93.5894590270139
